cleaned,vector
décevoir service médiocre attente interminable plat erreur commande plat quelconque,"[0.2639939486980438, -0.018161073327064514, 0.03604044392704964, 0.12818877398967743, 0.08356372267007828, -0.2932867109775543, 0.05678343027830124, -0.044420287013053894, -0.2602165639400482, 0.09693273156881332, 0.14684493839740753, -0.04839392751455307, -0.18392793834209442, -0.06485866755247116, 0.023127853870391846, 0.21321417391300201, -0.04105236381292343, 0.026228394359350204, -0.06756711006164551, 0.2797437310218811, 0.15574924647808075, 0.24852390587329865, 0.21062049269676208, -0.22803907096385956, -0.1284967064857483, 0.15236064791679382, -0.028628699481487274, 0.0104234479367733, -0.012104243971407413, -0.08661343902349472, 0.011163478717207909, 0.15188683569431305, -0.0297622662037611, -0.07670225948095322, -0.01370455976575613, -0.021626386791467667, 0.039643388241529465, 0.0032380472403019667, -0.011468568816781044, -0.008417212404310703, -0.11164335161447525, 0.03463873267173767, -0.08169291913509369, -0.05825933441519737, 0.08565903455018997, -0.09954440593719482, 0.04090594872832298, -0.08797735720872879, -0.06285859644412994, 0.1396430879831314, 0.09853953123092651, 0.07406165450811386, 0.16618797183036804, 0.1255277842283249, 0.06977743655443192, 0.06739307940006256, 0.11310160905122757, -0.03682183101773262, -0.10968320816755295, 0.10858239233493805, -0.03330646827816963, -0.021972181275486946, 0.05165725201368332, 0.026368755847215652]"
cadre super sympa original carte plat chaud limité carte dessert étoffer,"[0.3104264736175537, -0.0054008434526622295, 0.036976929754018784, 0.1437714844942093, 0.08868709951639175, -0.34867990016937256, 0.04645853862166405, -0.04756886884570122, -0.28727346658706665, 0.10561070591211319, 0.166521817445755, -0.06267987191677094, -0.21291600167751312, -0.06706678122282028, 0.018366241827607155, 0.28418347239494324, -0.059763867408037186, 0.04492385685443878, -0.07520629465579987, 0.327060729265213, 0.17436282336711884, 0.291203111410141, 0.229349747300148, -0.26411402225494385, -0.16326004266738892, 0.18331587314605713, -0.04471936821937561, 0.0066213784739375114, -0.028295813128352165, -0.09878788888454437, 0.00021136355644557625, 0.15174049139022827, -0.021534165367484093, -0.06586683541536331, -0.005265519954264164, -0.025354372337460518, 0.0507359579205513, 0.006471720989793539, 0.007822473533451557, -0.019411563873291016, -0.12468572705984116, 0.027868226170539856, -0.12209576368331909, -0.0744483470916748, 0.10595767199993134, -0.10832666605710983, 0.052218981087207794, -0.0740579143166542, -0.08013425022363663, 0.22294563055038452, 0.11187215894460678, 0.0780089721083641, 0.1967763453722, 0.12773695588111877, 0.0823901891708374, 0.07588183134794235, 0.1254528909921646, -0.01984705775976181, -0.1250017136335373, 0.1452145278453827, -0.03382975235581398, -0.024861035868525505, 0.05112650617957115, 0.01977761648595333]"
moyen  être aller midi mois août être restaurant cadre sympa possibilité manger terrasse accueil,"[0.23406043648719788, -0.013053872622549534, 0.051639776676893234, 0.12152816355228424, 0.07204804569482803, -0.30433550477027893, 0.03313548490405083, -0.02949756570160389, -0.25095728039741516, 0.09662775695323944, 0.1527661234140396, -0.06805898249149323, -0.1585966944694519, -0.05820094794034958, 0.025312066078186035, 0.20071744918823242, -0.03894288092851639, 0.014254246838390827, -0.06857240200042725, 0.257408082485199, 0.14626754820346832, 0.2471941113471985, 0.1923360675573349, -0.2122650295495987, -0.10209210216999054, 0.15734416246414185, -0.021007096394896507, 0.007034147623926401, -0.004903426859527826, -0.07663213461637497, -0.014785473234951496, 0.12609483301639557, -0.01436314545571804, -0.07105664908885956, 0.015316018834710121, -0.02756320871412754, 0.05246898531913757, 0.01368181686848402, 0.004056181292980909, -0.007736631203442812, -0.09041865915060043, 0.009469732642173767, -0.09397564828395844, -0.04693586379289627, 0.09468153119087219, -0.07652416825294495, 0.03975353389978409, -0.07962232083082199, -0.06758211553096771, 0.14131656289100647, 0.10528047382831573, 0.07361213117837906, 0.15074504911899567, 0.11475890874862671, 0.08282548189163208, 0.06981838494539261, 0.11670311540365219, -0.02982899732887745, -0.10300135612487793, 0.11032697558403015, -0.03607672080397606, -0.030666427686810493, 0.04171914607286453, 0.014849422499537468]"
hôtel gamme accueil désagréable chambre pue tabac froid heureusement petit déjeuner inclure chambre pain,"[0.5127637386322021, -0.027452394366264343, 0.10091192275285721, 0.23550540208816528, 0.16304364800453186, -0.5991692543029785, 0.10994704812765121, -0.0429261289536953, -0.49456000328063965, 0.1596667617559433, 0.26334819197654724, -0.10889172554016113, -0.3636118173599243, -0.11701055616140366, 0.038365595042705536, 0.40134555101394653, -0.09047195315361023, 0.05335339158773422, -0.11195462197065353, 0.556515634059906, 0.31599846482276917, 0.4632950723171234, 0.38842788338661194, -0.4306608736515045, -0.23479335010051727, 0.3344580829143524, -0.053687021136283875, -0.004856888670474291, -0.02279411442577839, -0.1553548276424408, 0.004329435061663389, 0.2766232192516327, -0.009821767918765545, -0.13689354062080383, 0.0021791537292301655, -0.05277054384350777, 0.11094819754362106, 0.0023902212269604206, -0.02458960935473442, -0.02429843135178089, -0.213556170463562, 0.04376164823770523, -0.1751849502325058, -0.11485780775547028, 0.18186813592910767, -0.17752796411514282, 0.06606277823448181, -0.14825797080993652, -0.14568324387073517, 0.31926071643829346, 0.22396320104599, 0.1634722501039505, 0.30468031764030457, 0.24881017208099365, 0.16145175695419312, 0.12112068384885788, 0.21497151255607605, -0.06278645992279053, -0.22512204945087433, 0.19830147922039032, -0.0919979140162468, -0.04284704849123955, 0.07664849609136581, 0.02252189815044403]"
manger bien service déplorable cas semaine dernier  minute attente dessert problème,"[0.1869707703590393, 0.01215383131057024, 0.02496178075671196, 0.0943671241402626, 0.039803799241781235, -0.2183583825826645, 0.04155770689249039, -0.037181586027145386, -0.19472527503967285, 0.07612256705760956, 0.10127774626016617, -0.051575712859630585, -0.13595502078533173, -0.045936886221170425, 0.041781723499298096, 0.1546740084886551, -0.03553987294435501, 0.019763929769396782, -0.03113461472094059, 0.20743490755558014, 0.12623555958271027, 0.19704332947731018, 0.16353623569011688, -0.1858615279197693, -0.09464584290981293, 0.12618239223957062, -0.019656609743833542, 0.023192109540104866, 0.004443351179361343, -0.07633049041032791, 0.01887032762169838, 0.09687254577875137, -0.00688953697681427, -0.04401027411222458, 0.0006410348578356206, -0.024004336446523666, 0.04521440342068672, 0.018486063927412033, -0.018701251596212387, -0.005119416397064924, -0.0683450847864151, 0.022577641531825066, -0.07781296968460083, -0.04217863455414772, 0.07009872794151306, -0.07298535108566284, 0.015933524817228317, -0.06733930110931396, -0.06401214748620987, 0.11349406093358994, 0.08821873366832733, 0.044001974165439606, 0.120663121342659, 0.09130028635263443, 0.06271356344223022, 0.05931904911994934, 0.08537907898426056, -0.0193698238581419, -0.08272945135831833, 0.10505711287260056, -0.037185002118349075, -0.022814329713582993, 0.03287684917449951, 0.017391100525856018]"
trop trop long  bon repas h poyr manger plat entrée super long heureusement voisin table trouver attente trop,"[0.2732621729373932, 0.035723429173231125, 0.020154409110546112, 0.06749546527862549, 0.09347919374704361, -0.28706181049346924, 0.05454542487859726, -0.05084336921572685, -0.2521457374095917, 0.06571037322282791, 0.14451751112937927, -0.09112218767404556, -0.1704270839691162, -0.031168825924396515, 0.042638085782527924, 0.19955050945281982, 0.00029043955146335065, 0.030625546351075172, -0.07261568307876587, 0.26324522495269775, 0.1848733276128769, 0.24750731885433197, 0.2230329066514969, -0.20064111053943634, -0.14048674702644348, 0.1674390435218811, -0.05647134780883789, 0.00791906751692295, 0.0035266748163849115, -0.11767774820327759, 0.06669939309358597, 0.17390260100364685, -0.05829470604658127, -0.06986013054847717, -0.046433065086603165, -0.054102908819913864, 0.06157998740673065, 0.04300445690751076, -0.009016011841595173, -0.010347227565944195, -0.035931363701820374, 0.07323835790157318, -0.05049803853034973, -0.10565119236707687, 0.07845274358987808, -0.08246711641550064, 0.04976081848144531, -0.10366605222225189, -0.09527066349983215, 0.1498761922121048, 0.13293813169002533, 0.06176437437534332, 0.16361604630947113, 0.13421988487243652, 0.03695884346961975, 0.07139774411916733, 0.10698157548904419, 0.00454585999250412, -0.09563407301902771, 0.10856247693300247, 0.006677852477878332, -0.047782547771930695, 0.026958269998431206, 0.04641975462436676]"
moule frit moule  envie moule moule frit évidemment commande serveuse déconseille moule arrivage jour,"[0.46438246965408325, -0.0442640595138073, 0.090517058968544, 0.25853943824768066, 0.1528129130601883, -0.5543249845504761, 0.09968919306993484, 0.008736731484532356, -0.4625067710876465, 0.11339884251356125, 0.22864802181720734, -0.09088946133852005, -0.35462427139282227, -0.13905344903469086, 0.0321384035050869, 0.4047248363494873, -0.0871240422129631, 0.034101154655218124, -0.12659712135791779, 0.49717235565185547, 0.30936482548713684, 0.4547043442726135, 0.3024275600910187, -0.394635945558548, -0.23694877326488495, 0.3137281537055969, -0.01586470939218998, 0.030640488490462303, -0.040415529161691666, -0.15033948421478271, -0.01598973385989666, 0.23368284106254578, 0.02501888945698738, -0.15644705295562744, 0.006672816351056099, -0.030355043709278107, 0.09858741611242294, -0.036773670464754105, -0.01944787986576557, -0.0051934923976659775, -0.22481930255889893, 0.014639302156865597, -0.15222182869911194, -0.10206116735935211, 0.17370308935642242, -0.18194493651390076, 0.04029334709048271, -0.12368199229240417, -0.05377786606550217, 0.2593233585357666, 0.21368907392024994, 0.12364135682582855, 0.24616846442222595, 0.17635676264762878, 0.1378442496061325, 0.18112687766551971, 0.20746226608753204, -0.04390532150864601, -0.24015434086322784, 0.1332816481590271, -0.024108974263072014, -0.10024311393499374, 0.11110470443964005, 0.0067741950042545795]"
revoir prix  rien repas prix avis trop cher dépendre placer revoir,"[0.14629361033439636, 0.004114083014428616, 0.020170409232378006, 0.04421059787273407, 0.07011900097131729, -0.1592489331960678, -0.0019616687204688787, -0.01322188600897789, -0.14532460272312164, 0.054442036896944046, 0.06584150344133377, -0.036669645458459854, -0.09385562688112259, -0.05076592415571213, -0.008257118053734303, 0.0966772735118866, -0.011264275759458542, -0.002005567541345954, -0.029247237369418144, 0.13564938306808472, 0.10730355978012085, 0.10179179161787033, 0.1335100531578064, -0.12566672265529633, -0.06537923961877823, 0.08072452992200851, -0.033546023070812225, -0.0017176667461171746, -0.02613070234656334, -0.057964932173490524, 0.005288629326969385, 0.0870472639799118, -0.0020458034705370665, -0.03517445549368858, -0.012060162611305714, -0.020507045090198517, 0.01465466246008873, -0.00439478550106287, 0.012635859660804272, 0.009365283884108067, -0.04189024493098259, 0.019978614524006844, -0.06458315998315811, -0.030122175812721252, 0.030215369537472725, -0.06027475371956825, 0.012633671052753925, -0.036024197936058044, -0.07132329046726227, 0.11033039540052414, 0.05240312218666077, 0.03186284005641937, 0.07042615115642548, 0.08035105466842651, 0.024450834840536118, 0.05697277560830116, 0.06833518296480179, -0.007465754169970751, -0.050189703702926636, 0.07240647822618484, 0.0004448613035492599, -0.02832481637597084, 0.017679424956440926, 0.01403006725013256]"
pitoyable  accueil médiocre cuistot patron demeurer porte gant tablier préparer burger serveuse nettoye,"[0.5912854075431824, -0.03311464935541153, 0.10007856041193008, 0.3065478205680847, 0.19482390582561493, -0.7048661112785339, 0.12249954044818878, -0.0705915316939354, -0.5841884016990662, 0.2206469178199768, 0.3377246558666229, -0.13712988793849945, -0.40915417671203613, -0.11652037501335144, 0.060059886425733566, 0.4780731201171875, -0.1108095571398735, 0.03824577480554581, -0.13548460602760315, 0.6503232717514038, 0.35161247849464417, 0.5380682945251465, 0.4532311260700226, -0.5280436873435974, -0.2700031101703644, 0.380899041891098, -0.05368449166417122, 0.008737816475331783, -0.05006156861782074, -0.19547156989574432, 0.007794111967086792, 0.33335140347480774, 0.0069395978935062885, -0.1591871976852417, 0.02024798095226288, -0.07252899557352066, 0.11318689584732056, -0.008447200991213322, -0.013552699238061905, -0.029822830110788345, -0.24555140733718872, 0.0392400324344635, -0.22075793147087097, -0.13415051996707916, 0.1955220252275467, -0.20647527277469635, 0.08430007845163345, -0.17325524985790253, -0.17187923192977905, 0.3588140904903412, 0.2625134587287903, 0.16863834857940674, 0.3538321852684021, 0.28657013177871704, 0.1941743642091751, 0.14203739166259766, 0.2553137540817261, -0.08372510224580765, -0.2601579427719116, 0.2454051524400711, -0.08598934859037399, -0.04957791045308113, 0.11153817921876907, 0.046062618494033813]"
ambiance changer  restaurant fort sympathique menu volonté semaine malheureusement passage régulier,"[0.2889598309993744, -0.0206640362739563, 0.05549471825361252, 0.15688492357730865, 0.09321741759777069, -0.3520067632198334, 0.04920101538300514, -0.03211835026741028, -0.28602761030197144, 0.13068217039108276, 0.1754678189754486, -0.07173550128936768, -0.214360773563385, -0.06675191968679428, 0.024031033739447594, 0.25864461064338684, -0.06842925399541855, 0.014252337627112865, -0.07429184764623642, 0.32254141569137573, 0.18533183634281158, 0.29200881719589233, 0.2440573275089264, -0.2604029178619385, -0.14009632170200348, 0.1836637407541275, -0.03442489355802536, 0.009297766722738743, -0.02018657885491848, -0.09467502683401108, 0.0049103801138699055, 0.1528848111629486, -0.01137065514922142, -0.06340192258358002, 0.019476696848869324, -0.023947063833475113, 0.06260284036397934, -0.00023227307246997952, -0.0104580819606781, -0.012537390924990177, -0.14162519574165344, 0.026158493012189865, -0.10101549327373505, -0.06639318913221359, 0.08200152963399887, -0.1103927344083786, 0.040116507560014725, -0.0805278867483139, -0.08719613403081894, 0.18253859877586365, 0.12370798736810684, 0.08648347109556198, 0.1829836219549179, 0.13312003016471863, 0.1044405922293663, 0.09226207435131073, 0.12169195711612701, -0.02859465777873993, -0.13476379215717316, 0.1386996954679489, -0.05618975684046745, -0.035151731222867966, 0.0647546574473381, 0.025233522057533264]"
execrabl  décevoir voir colère personnel absolument aimable agressif honte prétendre commercer,"[0.5161040425300598, -0.010317767970263958, 0.09603263437747955, 0.27169546484947205, 0.1663178652524948, -0.6235852241516113, 0.09556311368942261, -0.06825254112482071, -0.5222718715667725, 0.19075213372707367, 0.3088686168193817, -0.1177503690123558, -0.369130402803421, -0.11612068861722946, 0.05845873802900314, 0.4384203255176544, -0.0905814915895462, 0.05235055461525917, -0.12182475626468658, 0.5781570672988892, 0.316666841506958, 0.48814454674720764, 0.42587974667549133, -0.4811108410358429, -0.25933003425598145, 0.34743866324424744, -0.06123276427388191, 0.025278229266405106, -0.0366133451461792, -0.17699690163135529, 0.007384561933577061, 0.2972356379032135, 0.014586607925593853, -0.15302249789237976, 0.02203982323408127, -0.04153706505894661, 0.09873004257678986, -0.015034127980470657, -0.022192610427737236, -0.042101696133613586, -0.24395325779914856, 0.054059747606515884, -0.20371919870376587, -0.11400546878576279, 0.1947249174118042, -0.18975083529949188, 0.06956329941749573, -0.17140181362628937, -0.14862222969532013, 0.31927308440208435, 0.2268298864364624, 0.1597154289484024, 0.31504544615745544, 0.24275940656661987, 0.17828629910945892, 0.14241431653499603, 0.21649958193302155, -0.0488990917801857, -0.2399204820394516, 0.2334463745355606, -0.08442343771457672, -0.0526922345161438, 0.11588411033153534, 0.03424734249711037]"
décevoir  connaître clémenceau ancien propriétaire décevoir restaurant devenir huppé plat rétréci prix,"[0.4565591812133789, -0.02735093981027603, 0.08199945837259293, 0.25325870513916016, 0.17373880743980408, -0.5534987449645996, 0.0777812972664833, -0.06368400901556015, -0.4779631793498993, 0.16227270662784576, 0.2733604609966278, -0.09604257345199585, -0.33055710792541504, -0.12044186145067215, 0.033621493726968765, 0.3932816982269287, -0.07974264025688171, 0.015465643256902695, -0.10571520030498505, 0.5107666850090027, 0.2883765697479248, 0.4423530101776123, 0.3680920898914337, -0.413349986076355, -0.2131630778312683, 0.2991737723350525, -0.07165484875440598, 0.002853028941899538, -0.041394393891096115, -0.1545354425907135, 0.008238935843110085, 0.25486183166503906, -0.01797863095998764, -0.12601186335086823, 0.015817224979400635, -0.05337466672062874, 0.08170226961374283, -0.02123495563864708, -0.007270731031894684, -0.035228338092565536, -0.19705116748809814, 0.051304612308740616, -0.15510204434394836, -0.10566691309213638, 0.15818220376968384, -0.1653914600610733, 0.05913969501852989, -0.13869203627109528, -0.13229282200336456, 0.28546398878097534, 0.18099825084209442, 0.15130697190761566, 0.2713179886341095, 0.22747471928596497, 0.14872093498706818, 0.13932017982006073, 0.1985655277967453, -0.05249685049057007, -0.21766191720962524, 0.19182626903057098, -0.08458303660154343, -0.04908101260662079, 0.0826944038271904, 0.026837872341275215]"
décevoir pourtant frenchy qyper habituer soir non moule spécialité théorique lieu,"[0.4060491919517517, -0.028584683313965797, 0.07654085010290146, 0.20658300817012787, 0.14334727823734283, -0.4922844469547272, 0.05268710479140282, -0.032610006630420685, -0.40722373127937317, 0.1359235942363739, 0.2338409274816513, -0.08690387010574341, -0.27959418296813965, -0.09391339123249054, 0.037446945905685425, 0.3475358188152313, -0.07658914476633072, 0.03680285066366196, -0.10510709881782532, 0.4356535077095032, 0.25486478209495544, 0.40117526054382324, 0.308467835187912, -0.3537067472934723, -0.17264772951602936, 0.2669505476951599, -0.04593931511044502, 0.007470542564988136, -0.05112720653414726, -0.14249972999095917, -0.00026682630414143205, 0.22272641956806183, -0.00947620440274477, -0.10352746397256851, 0.010478290729224682, -0.05598350241780281, 0.07638584077358246, -0.025745701044797897, -0.032866913825273514, -0.030491311103105545, -0.19121652841567993, 0.03839560225605965, -0.14354068040847778, -0.09730338305234909, 0.15145108103752136, -0.1579848974943161, 0.04279042035341263, -0.12431108206510544, -0.10642574727535248, 0.25921714305877686, 0.18157817423343658, 0.14320242404937744, 0.23605604469776154, 0.16632328927516937, 0.15033450722694397, 0.11419006437063217, 0.1932377815246582, -0.03140377998352051, -0.18813370168209076, 0.1890212446451187, -0.05005096644163132, -0.043962009251117706, 0.10307151079177856, -0.0002517122484277934]"
médiocre restaurant c bluff déco aguicheur service gamme qualité plat digne rayon surgeler carrefour bref,"[0.605130672454834, -0.02993202954530716, 0.10612993687391281, 0.30199846625328064, 0.20503093302249908, -0.7232790589332581, 0.10212520509958267, -0.07130096852779388, -0.5991732478141785, 0.22742018103599548, 0.35555800795555115, -0.12928152084350586, -0.44333547353744507, -0.1403149962425232, 0.0559837780892849, 0.5080317854881287, -0.11195125430822372, 0.055127158761024475, -0.13894613087177277, 0.6625534296035767, 0.36946672201156616, 0.5621947646141052, 0.4689992666244507, -0.5348166823387146, -0.2918415665626526, 0.39039942622184753, -0.08415663242340088, 0.024164415895938873, -0.03431554511189461, -0.20304527878761292, 0.010824955999851227, 0.33786681294441223, -0.03236731141805649, -0.16642379760742188, 0.015493656508624554, -0.06799793243408203, 0.11193513870239258, -0.0051329839043319225, -0.017959918826818466, -0.013540790416300297, -0.2756921350955963, 0.0672963559627533, -0.234337717294693, -0.12582194805145264, 0.19590948522090912, -0.21521742641925812, 0.09124868363142014, -0.19263112545013428, -0.175812765955925, 0.3755618631839752, 0.25721603631973267, 0.18994833528995514, 0.3596411645412445, 0.2949659824371338, 0.1832919716835022, 0.1631580889225006, 0.2622537612915039, -0.07672658562660217, -0.2693846821784973, 0.2537662088871002, -0.10531192272901535, -0.05880987271666527, 0.11923108249902725, 0.040808841586112976]"
ben ps raide   table h plat h désorganisation total,"[0.38486385345458984, -0.03025898151099682, 0.06733832508325577, 0.1717974990606308, 0.13106106221675873, -0.4576246738433838, 0.094583660364151, -0.04611827805638313, -0.3539520800113678, 0.12459175288677216, 0.2043195366859436, -0.08988700807094574, -0.2535932660102844, -0.08567382395267487, 0.05328165367245674, 0.3228664994239807, -0.05546482652425766, 0.04629695788025856, -0.0852305144071579, 0.39579322934150696, 0.2376859486103058, 0.3375336825847626, 0.2933865785598755, -0.3145551383495331, -0.17769037187099457, 0.24279522895812988, -0.03874692693352699, 0.014929127879440784, -0.018359730020165443, -0.13337771594524384, 0.019921720027923584, 0.18092487752437592, -0.01958332397043705, -0.09140188246965408, -0.005052568856626749, -0.044225871562957764, 0.06536566466093063, 0.005208997987210751, -0.015680626034736633, -0.03548889979720116, -0.151828795671463, 0.043527908623218536, -0.11354342103004456, -0.06764503568410873, 0.11415992677211761, -0.142800435423851, 0.042500898241996765, -0.1405819207429886, -0.08950260281562805, 0.20653028786182404, 0.14155486226081848, 0.12808290123939514, 0.2413392961025238, 0.1794975996017456, 0.10821918398141861, 0.1012178584933281, 0.14966221153736115, -0.04750632494688034, -0.17350006103515625, 0.1525757759809494, -0.036535006016492844, -0.04629458114504814, 0.07036744803190231, -0.0026140278205275536]"
lire sachez critique concerne service installer terrasse min serveur,"[0.34752988815307617, -0.005390140227973461, 0.0546298511326313, 0.18294048309326172, 0.10976239293813705, -0.4207271635532379, 0.061995670199394226, -0.04618077352643013, -0.3392511010169983, 0.14708150923252106, 0.20751062035560608, -0.0877363383769989, -0.2537957727909088, -0.08620608597993851, 0.026923494413495064, 0.276443213224411, -0.05722112953662872, 0.027530448511242867, -0.08352841436862946, 0.3886055648326874, 0.21970875561237335, 0.34078454971313477, 0.2666622996330261, -0.3133515417575836, -0.16537687182426453, 0.23017528653144836, -0.03292505070567131, 0.01147990208119154, -0.02349940687417984, -0.14074170589447021, -0.002723202807828784, 0.18875715136528015, -0.019088655710220337, -0.08647680282592773, 0.012215943075716496, -0.04305393248796463, 0.06902286410331726, -0.00674693938344717, -0.01298181526362896, -0.014481144957244396, -0.12931936979293823, 0.03653475642204285, -0.12643706798553467, -0.06793909519910812, 0.13192982971668243, -0.1239786446094513, 0.05334299057722092, -0.10675320774316788, -0.11210490018129349, 0.21827423572540283, 0.15145128965377808, 0.09175161272287369, 0.21539689600467682, 0.1710139364004135, 0.10618916153907776, 0.09678530693054199, 0.15438257157802582, -0.03643997758626938, -0.17226380109786987, 0.1579032838344574, -0.05952531099319458, -0.03176227584481239, 0.06673447042703629, 0.0322091206908226]"
correct  hôtel correct décoration vieillot prix chambre cher prestation hôtel dispose,"[0.32051223516464233, 0.0006864831666462123, 0.054865512996912, 0.1375598907470703, 0.10974932461977005, -0.3536255359649658, 0.04734525829553604, -0.037173718214035034, -0.31333988904953003, 0.12316252291202545, 0.1480475664138794, -0.0548471100628376, -0.19968083500862122, -0.07831354439258575, 0.01751851662993431, 0.25542721152305603, -0.03311409801244736, 0.020445186644792557, -0.06502249091863632, 0.33199381828308105, 0.18842796981334686, 0.26415327191352844, 0.25206121802330017, -0.2671474516391754, -0.14634563028812408, 0.18946683406829834, -0.044563133269548416, -0.020763536915183067, -0.03647001460194588, -0.09711815416812897, -0.009168594144284725, 0.19211971759796143, -0.0019664601422846317, -0.04819123074412346, 0.007106077391654253, -0.042954910546541214, 0.07260411232709885, -0.012571204453706741, -0.014877185225486755, -0.003339518792927265, -0.11421843618154526, 0.03924791142344475, -0.11104559898376465, -0.0865466445684433, 0.10065105557441711, -0.12881571054458618, 0.06312477588653564, -0.06285761296749115, -0.10307972878217697, 0.17461839318275452, 0.14246708154678345, 0.08896078914403915, 0.1810152679681778, 0.17100761830806732, 0.08039363473653793, 0.07407020777463913, 0.1273133009672165, -0.03298984467983246, -0.13123410940170288, 0.11760112643241882, -0.043786514550447464, -0.049515143036842346, 0.05033131688833237, 0.03491339460015297]"
scandaleux  serveur agréable service moyen rattraper nourriture commander steak hacher œuf,"[0.3425334095954895, -0.006780113093554974, 0.054984621703624725, 0.16997383534908295, 0.09137343615293503, -0.4221392869949341, 0.06396663188934326, -0.04121960699558258, -0.32229888439178467, 0.14489951729774475, 0.20816998183727264, -0.08190909773111343, -0.2428905963897705, -0.07855404168367386, 0.015611489303410053, 0.3024371564388275, -0.06003100052475929, 0.03072192519903183, -0.07943986356258392, 0.362164705991745, 0.2029849737882614, 0.33349132537841797, 0.28135401010513306, -0.2944765090942383, -0.15130223333835602, 0.2134684920310974, -0.021785959601402283, 0.029542753472924232, -0.018145831301808357, -0.1360132247209549, 0.020191211253404617, 0.19630490243434906, -0.016467953100800514, -0.0750330463051796, 0.008449475280940533, -0.04902029410004616, 0.0730094388127327, -0.0011303832288831472, -0.0013232770143076777, -0.01813618093729019, -0.15512517094612122, 0.036809470504522324, -0.12561629712581635, -0.06534768640995026, 0.11982067674398422, -0.1283600628376007, 0.06734426319599152, -0.10756170749664307, -0.09545779973268509, 0.20850566029548645, 0.14772190153598785, 0.09649210423231125, 0.2289629727602005, 0.17083296179771423, 0.1275443136692047, 0.07514643669128418, 0.13833779096603394, -0.03989780321717262, -0.14590726792812347, 0.15392424166202545, -0.05751946568489075, -0.04145944118499756, 0.07380024343729019, 0.028269881382584572]"
accueil revoir  aucun décor ambiance tristounet serveur déborder attente long plat cher pâte,"[0.20262973010540009, 0.0214852225035429, 0.03534168377518654, 0.08703693002462387, 0.08067593723535538, -0.263360857963562, 0.05102623626589775, -0.027525266632437706, -0.19566568732261658, 0.07854995876550674, 0.14086182415485382, -0.06781061738729477, -0.16130533814430237, -0.052864473313093185, 0.028257614001631737, 0.1732162982225418, -0.0181366428732872, 0.010789290070533752, -0.05264541506767273, 0.2343236804008484, 0.1384473294019699, 0.20840847492218018, 0.18560224771499634, -0.1877571940422058, -0.1081206351518631, 0.13006722927093506, -0.05078239366412163, 0.0023964671418070793, -0.003268580650910735, -0.06911296397447586, 0.011497821658849716, 0.1321490854024887, -0.020710734650492668, -0.054473936557769775, -0.017885420471429825, -0.010403002612292767, 0.04017670825123787, -0.003502474632114172, -0.002126494888216257, -0.002812872175127268, -0.06211357191205025, 0.04208378493785858, -0.07981100678443909, -0.0669296458363533, 0.062084443867206573, -0.06995565444231033, 0.04983433336019516, -0.06364105641841888, -0.08274594694375992, 0.12167566269636154, 0.0934964045882225, 0.05062215402722359, 0.13480807840824127, 0.09943568706512451, 0.06047748774290085, 0.05164583399891853, 0.0867750346660614, -0.01278106588870287, -0.08905819803476334, 0.10959161818027496, -0.008154606446623802, -0.023448869585990906, 0.03199813514947891, 0.012237491086125374]"
bjr samedi  mars  envis changer restaurant plateau nancray decu commande rose,"[0.5832164287567139, -0.03482086956501007, 0.11515986174345016, 0.3086196482181549, 0.19355173408985138, -0.6901509165763855, 0.10898911207914352, -0.057567667216062546, -0.5634509325027466, 0.224249467253685, 0.33589357137680054, -0.13010770082473755, -0.41574108600616455, -0.13695435225963593, 0.04970048740506172, 0.47977495193481445, -0.09205583482980728, 0.04043789207935333, -0.14508472383022308, 0.6422251462936401, 0.36190006136894226, 0.5451415777206421, 0.47055143117904663, -0.5006646513938904, -0.27063968777656555, 0.3747306764125824, -0.06018918380141258, 0.01907590590417385, -0.04343102127313614, -0.20208106935024261, 0.005040538031607866, 0.32713907957077026, -0.02671384997665882, -0.14830400049686432, 0.0031328292097896338, -0.053221799433231354, 0.10485660284757614, -0.018675677478313446, -0.016385020688176155, -0.028296208009123802, -0.2602783441543579, 0.04400886967778206, -0.2027035802602768, -0.12680816650390625, 0.18381622433662415, -0.21496857702732086, 0.07222124189138412, -0.20299769937992096, -0.15060587227344513, 0.34969672560691833, 0.2315858006477356, 0.19231437146663666, 0.34859517216682434, 0.26695042848587036, 0.19473205506801605, 0.16154679656028748, 0.26152360439300537, -0.07915026694536209, -0.25308144092559814, 0.24968276917934418, -0.0843299925327301, -0.05949443578720093, 0.12404986470937729, 0.028791535645723343]"
