cleaned,vector
confiance girafe vouloir présenter restaurant famille réserver table h anniversaire mère tante,"[0.4620929956436157, -0.030201848596334457, 0.06337948143482208, 0.21809984743595123, 0.1505979746580124, -0.5506426692008972, 0.09332249313592911, -0.05469955876469612, -0.43192121386528015, 0.1741144210100174, 0.246461421251297, -0.10684356838464737, -0.33158791065216064, -0.09773363918066025, 0.06473864614963531, 0.3786129653453827, -0.06503154337406158, 0.03574666380882263, -0.11869271099567413, 0.5095191597938538, 0.2919952869415283, 0.4120773375034332, 0.34947189688682556, -0.38708940148353577, -0.21221725642681122, 0.3079104423522949, -0.045205067843198776, 0.017590295523405075, -0.03856367617845535, -0.16389252245426178, 0.018287554383277893, 0.23019880056381226, -0.015269318595528603, -0.11627011001110077, 0.0024338196963071823, -0.05089716240763664, 0.08478759229183197, 0.0017896454082801938, -0.017139440402388573, -0.03830280900001526, -0.18719272315502167, 0.05210784450173378, -0.15375258028507233, -0.08200126141309738, 0.13534250855445862, -0.16915462911128998, 0.034296318888664246, -0.16640470921993256, -0.12392910569906235, 0.27057981491088867, 0.1813553422689438, 0.1633031666278839, 0.28001028299331665, 0.20735961198806763, 0.15008927881717682, 0.1061284989118576, 0.2026570737361908, -0.052147526293992996, -0.22821523249149323, 0.22257186472415924, -0.057958416640758514, -0.04801512137055397, 0.08683501183986664, 0.014681409113109112]"
girafe remplacer café homme palais chaillot vue tour eiffel   bel bel ambiance art déco,"[0.5603903532028198, -0.02791324444115162, 0.13001124560832977, 0.2771790027618408, 0.18065816164016724, -0.6825293302536011, 0.11588163673877716, -0.043133340775966644, -0.5550873279571533, 0.2159939706325531, 0.3251636326313019, -0.11037782579660416, -0.41484278440475464, -0.10887837409973145, 0.04931867495179176, 0.45974573493003845, -0.10910699516534805, 0.03990475460886955, -0.13078413903713226, 0.601178765296936, 0.3402470052242279, 0.540949285030365, 0.4390099346637726, -0.4922989308834076, -0.26471808552742004, 0.36223024129867554, -0.07464636117219925, 0.010104204528033733, -0.03161541745066643, -0.19931718707084656, 0.007146977353841066, 0.3171459436416626, -0.011264331638813019, -0.13367649912834167, 0.02847025915980339, -0.043699637055397034, 0.1124877780675888, -0.009587378241121769, -0.007427675649523735, -0.04454464092850685, -0.25099849700927734, 0.05106760933995247, -0.23135404288768768, -0.11201842129230499, 0.18010027706623077, -0.19823190569877625, 0.09192012995481491, -0.18638689815998077, -0.18276260793209076, 0.3624960780143738, 0.24999244511127472, 0.1729593425989151, 0.3287283182144165, 0.24279874563217163, 0.19875593483448029, 0.1563979834318161, 0.26441970467567444, -0.06280719488859177, -0.2442619800567627, 0.26075926423072815, -0.08590910583734512, -0.04706830903887749, 0.1191680058836937, 0.019675029441714287]"
repas convenable rapport qualité prix faible préparation plat simple déranger mettre,"[0.4880637228488922, -0.02635970711708069, 0.06405695527791977, 0.22671590745449066, 0.15432734787464142, -0.5653504133224487, 0.08602388948202133, -0.060917928814888, -0.4803604781627655, 0.19432929158210754, 0.26235589385032654, -0.10824353247880936, -0.34833627939224243, -0.10817808657884598, 0.03958926722407341, 0.40881991386413574, -0.07203490287065506, 0.0383203849196434, -0.10762584209442139, 0.5399217009544373, 0.3024139404296875, 0.4511423408985138, 0.3780692219734192, -0.4156554341316223, -0.2313317507505417, 0.3194870948791504, -0.052886731922626495, 0.0026420734357088804, -0.030941102653741837, -0.1645708680152893, 0.008948295377194881, 0.2717248201370239, -0.029453236609697342, -0.12753430008888245, -0.004939723294228315, -0.07209038734436035, 0.09070594608783722, 9.041217708727345e-05, -0.007690354250371456, -0.0038345083594322205, -0.2116483598947525, 0.047491997480392456, -0.15482649207115173, -0.11984561383724213, 0.15145441889762878, -0.1858917623758316, 0.06566178053617477, -0.1438918560743332, -0.16465121507644653, 0.29664313793182373, 0.2107803374528885, 0.15599220991134644, 0.294598251581192, 0.2529527246952057, 0.15672248601913452, 0.13931149244308472, 0.21761414408683777, -0.06455489248037338, -0.2204383909702301, 0.2036087065935135, -0.07344894111156464, -0.0732617974281311, 0.10166511684656143, 0.035305820405483246]"
haut lieu marais propriétaire accueillir sourire mettre suite aise  lieu bonder monde,"[0.40044230222702026, -0.01798173226416111, 0.0639534667134285, 0.2088163048028946, 0.14314818382263184, -0.5266553163528442, 0.08096428960561752, -0.04491681605577469, -0.4209173917770386, 0.1731528639793396, 0.24874691665172577, -0.07132219523191452, -0.2948656976222992, -0.08786572515964508, 0.028989972546696663, 0.35252758860588074, -0.09635685384273529, 0.04213251546025276, -0.08296699076890945, 0.4516485929489136, 0.24213464558124542, 0.40135741233825684, 0.332505464553833, -0.36299318075180054, -0.20994794368743896, 0.2679955065250397, -0.052937060594558716, 0.013640300370752811, -0.039347682148218155, -0.1519819051027298, -0.008954999037086964, 0.24765975773334503, -0.030282670632004738, -0.10974571853876114, 0.02874649688601494, -0.055871300399303436, 0.07012879103422165, -0.040757156908512115, -0.04895223677158356, -0.03999492898583412, -0.2109474241733551, 0.05431057885289192, -0.14325807988643646, -0.07723844796419144, 0.16210351884365082, -0.16115783154964447, 0.04379388317465782, -0.14117281138896942, -0.12736189365386963, 0.25887730717658997, 0.19707712531089783, 0.1365078240633011, 0.2561429738998413, 0.21567915380001068, 0.14720124006271362, 0.1002870574593544, 0.19747507572174072, -0.0394408255815506, -0.21701514720916748, 0.21846191585063934, -0.07698436081409454, -0.02655741386115551, 0.09282755851745605, 0.0188649520277977]"
bon rapport qualité prix contre amabilité propreté toilette repasser,"[0.32907405495643616, -0.0022182732354849577, 0.05681472644209862, 0.14880453050136566, 0.10327128320932388, -0.37013816833496094, 0.05279688537120819, -0.03179911524057388, -0.32162728905677795, 0.13601572811603546, 0.17906418442726135, -0.07271269708871841, -0.23425577580928802, -0.086290143430233, 0.007167549338191748, 0.26937544345855713, -0.04714594781398773, 0.03653310611844063, -0.08304029703140259, 0.33364957571029663, 0.1940162032842636, 0.2887587249279022, 0.25947338342666626, -0.2843383848667145, -0.13703075051307678, 0.20151874423027039, -0.038447458297014236, 0.008713462390005589, -0.017243308946490288, -0.10774432122707367, -0.003202327759936452, 0.17267388105392456, -0.02421463467180729, -0.07181721180677414, -0.0038211180362850428, -0.04385949671268463, 0.06073017790913582, -0.0010570901213213801, -0.007831703871488571, 0.004735368769615889, -0.13919980823993683, 0.02453247644007206, -0.09968234598636627, -0.09009502828121185, 0.09795476496219635, -0.11489859968423843, 0.042112186551094055, -0.09579837322235107, -0.11927638202905655, 0.20013664662837982, 0.14818458259105682, 0.1016375869512558, 0.19448179006576538, 0.1835329234600067, 0.10797564685344696, 0.08151958137750626, 0.1304585188627243, -0.030105778947472572, -0.1454104334115982, 0.12610659003257751, -0.05589503049850464, -0.04238345846533775, 0.053458694368600845, 0.008540762588381767]"
pauvre touriste venir restaurant espérer manger frais bon  service rapide plat frer addition,"[0.31968700885772705, -0.020817307755351067, 0.0677596926689148, 0.14436593651771545, 0.11214400082826614, -0.3821592330932617, 0.059400513768196106, -0.032403863966464996, -0.3104170262813568, 0.11791761219501495, 0.1744157373905182, -0.07782454788684845, -0.23219740390777588, -0.08002544939517975, 0.03383447602391243, 0.25912439823150635, -0.03506451100111008, 0.020424645394086838, -0.06259211152791977, 0.33153319358825684, 0.199035182595253, 0.29797473549842834, 0.2638002336025238, -0.27115288376808167, -0.12746824324131012, 0.19235122203826904, -0.025892656296491623, 0.011802096851170063, -0.025640888139605522, -0.09068495780229568, 0.0055524385534226894, 0.1567152887582779, -0.004913279786705971, -0.07339563965797424, 0.008329808712005615, -0.04108094051480293, 0.047967344522476196, 0.0032924325205385685, -0.01107805036008358, -0.024002866819500923, -0.12637710571289062, 0.03383323550224304, -0.10497647523880005, -0.06624623388051987, 0.1024809181690216, -0.10874800384044647, 0.05656001344323158, -0.10620664805173874, -0.08767664432525635, 0.1880977600812912, 0.11572425812482834, 0.09632682055234909, 0.19074726104736328, 0.15746955573558807, 0.09017354249954224, 0.08229168504476547, 0.13129353523254395, -0.03581196069717407, -0.1328357458114624, 0.13190583884716034, -0.03918961435556412, -0.029035774990916252, 0.05265830084681511, 0.011930320411920547]"
engouement toile propos pizzeria attendre nettement mieux  décevoir,"[0.4110398292541504, -0.014265507459640503, 0.08804083615541458, 0.23468703031539917, 0.1648879200220108, -0.53486168384552, 0.08616980910301208, -0.07132678478956223, -0.4394341707229614, 0.13737836480140686, 0.25359493494033813, -0.07968368381261826, -0.30890092253685, -0.11581110209226608, 0.03208227828145027, 0.3734375536441803, -0.07646852731704712, 0.028740311041474342, -0.090373195707798, 0.47148945927619934, 0.26027345657348633, 0.41892993450164795, 0.3311036229133606, -0.37687525153160095, -0.1988036036491394, 0.2772962749004364, -0.05086180567741394, 0.0003492553369142115, -0.030200866982340813, -0.15278512239456177, 0.022244617342948914, 0.23787575960159302, -0.010536078363656998, -0.11247414350509644, 0.015507340431213379, -0.05858093872666359, 0.08502744138240814, -0.0075984676368534565, -0.016582157462835312, -0.04454078897833824, -0.18797726929187775, 0.05382128059864044, -0.14802703261375427, -0.08876649290323257, 0.15479619801044464, -0.1533730924129486, 0.061592184007167816, -0.13563258945941925, -0.1029040664434433, 0.27018824219703674, 0.1713530421257019, 0.13782687485218048, 0.24657925963401794, 0.19479386508464813, 0.151234969496727, 0.13155610859394073, 0.1842341423034668, -0.0337139368057251, -0.20173946022987366, 0.17964094877243042, -0.07073740661144257, -0.041158027946949005, 0.08208474516868591, 0.010378857143223286]"
vouloir aller chartier petit rester envie  surprise placer,"[0.2973400950431824, -0.0083843432366848, 0.06922540068626404, 0.16225703060626984, 0.1083773672580719, -0.35771456360816956, 0.06511157006025314, -0.033586204051971436, -0.3076452910900116, 0.09693403542041779, 0.16719961166381836, -0.06950528919696808, -0.22320158779621124, -0.0856555849313736, 0.01798573136329651, 0.23943983018398285, -0.048694394528865814, 0.02428000047802925, -0.06985300779342651, 0.3454849123954773, 0.17822158336639404, 0.2847427725791931, 0.23443368077278137, -0.268768310546875, -0.13856840133666992, 0.18705987930297852, -0.03927503153681755, 0.004086287226527929, -0.016621485352516174, -0.1117011234164238, -0.00742657296359539, 0.1694955974817276, -0.0017540601547807455, -0.08990612626075745, 0.007682051043957472, -0.026771284639835358, 0.05691933631896973, -0.002825977746397257, -0.0017507484881207347, -0.011927512474358082, -0.1280626654624939, 0.020259808748960495, -0.10959160327911377, -0.04612162336707115, 0.09191550314426422, -0.10614027082920074, 0.03092568926513195, -0.09937631338834763, -0.08379394561052322, 0.1941433697938919, 0.12301325052976608, 0.09601633250713348, 0.17229340970516205, 0.15087299048900604, 0.11014968156814575, 0.08419514447450638, 0.14108768105506897, -0.032621342688798904, -0.15152879059314728, 0.1255631148815155, -0.04539678990840912, -0.03348356857895851, 0.048713166266679764, 0.014222878962755203]"
rédiger avis posteriori être aller an laisser souvenir impérissable  tester restaurant,"[0.3466581106185913, -0.026692016050219536, 0.054557107388973236, 0.20359140634536743, 0.12219595164060593, -0.40566420555114746, 0.0710471123456955, -0.041050512343645096, -0.35700803995132446, 0.14296115934848785, 0.18925093114376068, -0.07833732664585114, -0.24369724094867706, -0.07807154208421707, 0.02153281681239605, 0.28825435042381287, -0.06356721371412277, 0.01619773544371128, -0.07927168905735016, 0.36390650272369385, 0.21398238837718964, 0.3153812885284424, 0.2603882849216461, -0.3126044273376465, -0.1389676332473755, 0.22852371633052826, -0.03820318356156349, 0.01703566312789917, -0.02182798646390438, -0.11892630159854889, 0.011327018029987812, 0.18484212458133698, -0.00769274216145277, -0.09234556555747986, 0.02776293270289898, -0.035523802042007446, 0.07563754916191101, 0.004044034983962774, 1.8638644178281538e-05, -0.02547881193459034, -0.15398478507995605, 0.043368421494960785, -0.1402217000722885, -0.06577374786138535, 0.1254928708076477, -0.1292710155248642, 0.04262448102235794, -0.1098310723900795, -0.09706761687994003, 0.21600981056690216, 0.12973694503307343, 0.1275150030851364, 0.20240670442581177, 0.14875753223896027, 0.1250518560409546, 0.0889371931552887, 0.15317098796367645, -0.04581673815846443, -0.14260727167129517, 0.13736435770988464, -0.05244525149464607, -0.02816637232899666, 0.06807523220777512, 0.028039243072271347]"
rien d exceptionnel honnêtement comprendre note trop cher,"[0.2893189489841461, -0.006161636672914028, 0.051928918808698654, 0.13297660648822784, 0.10919856280088425, -0.32463765144348145, 0.029583627358078957, -0.030378425493836403, -0.27870774269104004, 0.10136552900075912, 0.1552141159772873, -0.05525623634457588, -0.19595716893672943, -0.07029297202825546, 0.010827475227415562, 0.23255370557308197, -0.03840284422039986, 0.023651404306292534, -0.06394512951374054, 0.29766765236854553, 0.17513655126094818, 0.2525073289871216, 0.23597268760204315, -0.2455252707004547, -0.12659969925880432, 0.18072320520877838, -0.05107321962714195, 0.014367419295012951, -0.03116423264145851, -0.11026357859373093, 0.008313316851854324, 0.168605774641037, -0.003180111525580287, -0.06721944361925125, -0.0024892783258110285, -0.027966633439064026, 0.058056507259607315, -0.0060858274810016155, -0.015842190012335777, -0.023702656850218773, -0.11061988025903702, 0.03532445430755615, -0.10587156563997269, -0.07594271004199982, 0.10180124640464783, -0.11087004095315933, 0.05191662162542343, -0.09171595424413681, -0.0878431499004364, 0.18208646774291992, 0.12655775249004364, 0.08063004165887833, 0.16850945353507996, 0.13850948214530945, 0.09232711791992188, 0.08782228082418442, 0.13378292322158813, -0.022344626486301422, -0.11556956171989441, 0.1292869746685028, -0.02135162055492401, -0.03823855519294739, 0.051471613347530365, 0.01518634520471096]"
